School_code,AgeID,Electorate,School_name,Street,Town_suburb,Postcode,Phone,School_Email,Website,Fax,latest_year_enrolment_FTE,Indigenous_pct,LBOTE_pct,ICSEA_value,Level_of_schooling,Selective_school,Opportunity_class,School_specialty_type,School_subtype,Support_classes,Preschool_ind,Distance_education,Intensive_english_centre,School_gender,Late_opening_school,Date_1st_teacher,LGA,Fed_electorate,Operational_directorate,Principal_network,Operational_directorate_office,Operational_directorate_office_phone,Operational_directorate_office_address,FACS_district,Local_health_district,AECG_region,ASGS_remoteness,Latitude,Longitude,Assets unit,SA4,Healthy canteen,Date_extracted
1028,51109,Barwon,Alma Public School,Comstock St,Broken Hill ,2880,08 8088 2181,alma-p.school@det.nsw.edu.au,https://alma-p.schools.nsw.gov.au,08 8087 3691,271,34,3,864,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Y,N,N,Coed,Y,1889-01-01,Broken Hill (C),Parkes,Rural South and West,Far West,Broken Hill,08 8082 5700,"1A Wentworth Rd, Broken Hill 2880","Murrumbidgee, Far West & Western NSW",Far West,Western 3,Outer Regional Australia,-31.982217,141.462443,North Western NSW,Far West and Orana,N,6/10/2022
1030,49761,Ballina,Alstonville Public School,Main St,Alstonville ,2477,02 6628 0775,alstonvill-p.school@det.nsw.edu.au,https://alstonvill-p.schools.nsw.gov.au,02 6628 5362,347,10,4,991,Primary School,Not Selective,Y,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1875-01-01,Ballina (A),Page,Rural North,Lennox Coast,Goonellabah,6623 5900,"610 Ballina Rd, Goonellabah 2480",Mid North Coast & Northern NSW,Northern NSW,Upper North Coast,Inner Regional Australia,-28.838471,153.438172,North Coast,Richmond - Tweed,N,6/10/2022
1040,49126,Port Stephens,Anna Bay Public School,191 Gan Gan Rd,Anna Bay ,2316,4982 1187,annabay-p.school@det.nsw.edu.au,https://annabay-p.schools.nsw.gov.au,4982 1879,372,12,6,961,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1879-11-01,Port Stephens (A),Paterson,Regional North,Port Stephens,Newcastle,4924 9900,"Level 1, 117 Bull St, Newcastle 2300",Hunter New England & Central Coast,Hunter New England,Hunter,Inner Regional Australia,-32.77637,152.089912,Hunter/Central Coast,Hunter Valley exc Newcastle,N,6/10/2022
1041,45497,Balmain,Annandale Public School,25 Johnston St,Annandale ,2038,9516 3711,annandale-p.school@det.nsw.edu.au,https://annandale-p.schools.nsw.gov.au,9550 4581,409,2,29,1117,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Y,N,N,Coed,N,1886-08-01,Inner West (A),Grayndler,Metropolitan South,Iron Cove,St Peters,9582 5800,"Church St, St Peters 2044","South Eastern Sydney, Northern Sydney & Sydney",Sydney,Metropolitan East,Major Cities of Australia,-33.885782,151.169599,Sydney,Sydney - Inner West,N,6/10/2022
1042,44930,Balmain,Annandale North Public School,206 Johnston St,Annandale ,2038,9660 3972,annandalen-p.school@det.nsw.edu.au,https://annandalen-p.schools.nsw.gov.au,9692 8323,398,3,26,1150,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,5/1/1907,Inner West (A),Grayndler,Metropolitan South,Iron Cove,St Peters,9582 5800,"Church St, St Peters 2044","South Eastern Sydney, Northern Sydney & Sydney",Sydney,Metropolitan East,Major Cities of Australia,-33.877905,151.171835,Sydney,Sydney - Inner West,N,6/10/2022
1045,50197,Wollondilly,Appin Public School,97 Appin Road,APPIN,2560,4631 1220,appin-p.school@det.nsw.edu.au,https://appin-p.schools.nsw.gov.au,4631 1486,355,7,10,985,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1868-01-01,Wollondilly (A),Hume,Regional South,Camden,Campbelltown,4633 2700,"Cnr Lindesay & Lithgow Streets, Campelltown 2560",South Western Sydney,South Western Sydney,Dharawal,Inner Regional Australia,-34.198417,150.78766,South Western Sydney,Sydney - Outer South West,N,6/10/2022
1048,57392,Hornsby,Arcadia Public School,140 Arcadia Road,ARCADIA,2159,9653 1207,arcadia-p.school@det.nsw.edu.au,https://arcadia-p.schools.nsw.gov.au,9653 2697,77,np,26,1049,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1894-05-01,Hornsby (A),Berowra,Regional North,Windsor,Nirimba,9208 7611,"Building T3C, Nirimba Education Precinct, Eastern Rd, Quakers Hill 2763","South Eastern Sydney, Northern Sydney & Sydney",Northern Sydney,Metropolitan North,Inner Regional Australia,-33.623487,151.051031,Northern Sydney,Sydney - Baulkham Hills and Hawkesbury,N,6/10/2022
1051,50519,Cootamundra,Ardlethan Central School,Mithul St,Ardlethan ,2665,6978 2046,ardlethan-c.school@det.nsw.edu.au,https://ardlethan-c.schools.nsw.gov.au,6978 2202,55.8,18,np,937,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,,N,N,N,Coed,N,1/1/1910,Coolamon (A),Riverina,Rural South and West,West Wyalong,Griffith,02 6961 8100,"Government Offices, 104-110 Banna Ave, Griffith 2680","Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1,Outer Regional Australia,-34.354098,146.900557,Southern NSW,Riverina,Y,6/10/2022
1055,50520,Cootamundra,Ariah Park Central School,Reid St,Ariah Park ,2665,6974 1105,ariahpark-c.school@det.nsw.edu.au,https://ariahpark-c.schools.nsw.gov.au,6974 1017,138.6,np,np,968,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,,N,N,N,Coed,N,1899-04-01,Temora (A),Riverina,Rural South and West,West Wyalong,Griffith,02 6961 8100,"Government Offices, 104-110 Banna Ave, Griffith 2680","Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1,Outer Regional Australia,-34.346925,147.218018,Southern NSW,Riverina,N,6/10/2022
1057,49372,Northern Tablelands,Armidale City Public School,Faulkner St,Armidale ,2350,6772 3420,armidalec-p.school@det.nsw.edu.au,https://armidalec-p.schools.nsw.gov.au,6771 2262,392,14,31,988,Primary School,Not Selective,Y,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1861-06-01,Armidale Regional (A),New England,Rural North,Armidale,Armidale,6776 4100,"Suites 2 & 3, North Power Building, 175 Rusden St Armidale",Hunter New England & Central Coast,Hunter New England,North Western 2,Inner Regional Australia,-30.519501,151.664056,North Western NSW,New England and North West,N,6/10/2022
1058,49376,Northern Tablelands,Drummond Memorial Public School,250 Rusden Street,ARMIDALE,2350,6772 3736,drummondm-p.school@det.nsw.edu.au,https://drummondm-p.schools.nsw.gov.au,6771 2275,173,35,36,838,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1890-10-01,Armidale Regional (A),New England,Rural North,Armidale,Armidale,6776 4100,"Suites 2 & 3, North Power Building, 175 Rusden St Armidale",Hunter New England & Central Coast,Hunter New England,North Western 2,Inner Regional Australia,-30.511469,151.650715,North Western NSW,New England and North West,N,6/10/2022
1061,47612,Lane Cove,Artarmon Public School,McMillan Rd,Artarmon ,2064,9411 1950,artarmon-p.school@det.nsw.edu.au,https://artarmon-p.schools.nsw.gov.au,9415 1243,1260,np,87,1177,Primary School,Not Selective,Y,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,10/1/1910,Willoughby (C),North Sydney,Metropolitan North,Gordon,MacPark,9886 7000,"Level 2, 75 Talavera Rd, Macquarie Park 2113","South Eastern Sydney, Northern Sydney & Sydney",Northern Sydney,Metropolitan North,Major Cities of Australia,-33.811249,151.186001,Northern Sydney,Sydney - North Sydney and Hornsby,N,6/10/2022
8235,47755,Parramatta,James Ruse Agricultural High School,Felton Rd,Carlingford ,2118,9871 7126,jamesruse-h.school@det.nsw.edu.au,https://jamesruse-h.schools.nsw.gov.au,9871 3874,854.5,0,97,1240,Secondary School,Fully Selective,N,Agricultural,Year 7 to Year 12,,N,N,N,Coed,N,1/1/1962,Parramatta (C),Parramatta,Metropolitan North,Carlingford,MacPark,9886 7000,"Level 2, 75 Talavera Rd, Macquarie Park 2113",Western Sydney & Nepean Blue Mountains,Western Sydney,Metropolitan West,Major Cities of Australia,-33.780624,151.043204,Western Sydney,Sydney - Parramatta,N,6/10/2022
3873,47598,Summer Hill,Dobroyd Point Public School,89 Waratah Street,Haberfield,2045,9797 8249,dobroydpt-p.school@det.nsw.edu.au,https://dobroydpt-p.schools.nsw.gov.au,,184,np,30,1154,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,2/1/1937,Inner West (A),Grayndler,Metropolitan South,Iron Cove,St Peters,9582 5800,"Church St, St Peters 2044","South Eastern Sydney, Northern Sydney & Sydney",Sydney,Metropolitan East,Major Cities of Australia,-33.874416,151.140692,Sydney,Sydney - Inner West,Y,6/10/2022
1066,49412,Northern Tablelands,Ashford Central School,Albury St,Ashford ,2361,6725 4101,ashford-c.school@det.nsw.edu.au,https://ashford-c.schools.nsw.gov.au,6725 4336,130,42,0,828,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,,N,N,N,Coed,Y,1868-01-01,Inverell (A),New England,Rural North,Northern Tablelands,Armidale,6776 4100,"Suites 2 & 3, North Power Building, 175 Rusden St Armidale",Hunter New England & Central Coast,Hunter New England,North Western 2,Outer Regional Australia,-29.321262,151.094638,North Western NSW,New England and North West,N,6/10/2022
1070,45797,Hornsby,Asquith Public School,Dudley St,Asquith,2077,9477 1258,asquith-p.school@det.nsw.edu.au,https://asquith-p.schools.nsw.gov.au,9482 2523,425,np,55,1096,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,3/1/1930,Hornsby (A),Bradfield,Metropolitan North,Hornsby,MacPark,9886 7000,"Level 2, 75 Talavera Rd, Macquarie Park 2113","South Eastern Sydney, Northern Sydney & Sydney",Northern Sydney,Metropolitan North,Major Cities of Australia,-33.685729,151.112177,Northern Sydney,Sydney - North Sydney and Hornsby,N,6/10/2022
1071,49369,Tamworth,Attunga Public School,Railway St,Attunga ,2345,6769 5554,attunga-p.school@det.nsw.edu.au,https://attunga-p.schools.nsw.gov.au,6769 5690,31,39,0,838,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1878-04-01,Tamworth Regional (A),New England,Rural North,Peel,Tamworth,6755 5000,"Level 3, Noel Park House, 155-157 Marius St, Tamworth 2340",Hunter New England & Central Coast,Hunter New England,North Western 2,Outer Regional Australia,-30.930445,150.846575,North Western NSW,New England and North West,N,6/10/2022
1073,47799,Auburn,Auburn North Public School,100 Adderley St,Auburn ,2144,9748 1036,auburnnth-p.school@det.nsw.edu.au,https://auburnnth-p.schools.nsw.gov.au,9748 0109,665,np,98,989,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1891-01-01,Cumberland (A),Blaxland,Metropolitan South,Auburn,Strathfield,9582 6300,"65 Albert St, Strathfield 2135",Western Sydney & Nepean Blue Mountains,Western Sydney,Metropolitan South West,Major Cities of Australia,-33.841669,151.038618,South Western Sydney,Sydney - Parramatta,N,6/10/2022
1075,47801,Auburn,Auburn West Public School,Chiswick Rd,Auburn ,2144,9649 6774,auburnwest-p.school@det.nsw.edu.au,https://auburnwest-p.schools.nsw.gov.au,9749 1467,591,np,97,915,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,8/1/1934,Cumberland (A),Blaxland,Metropolitan South,Auburn,Strathfield,9582 6300,"65 Albert St, Strathfield 2135",Western Sydney & Nepean Blue Mountains,Western Sydney,Metropolitan South West,Major Cities of Australia,-33.860931,151.019764,South Western Sydney,Sydney - Parramatta,N,6/10/2022
1076,49986,Keira,Austinmer Public School,90 Lawrence Hargrave Drive,Austinmer ,2515,4267 1311,austinmer-p.school@det.nsw.edu.au,https://austinmer-p.schools.nsw.gov.au,4267 1018,291,2,10,1116,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1866-01-01,Wollongong (C),Cunningham,Regional South,Wollongong North,Wollongong,4247 1007,"Block H, Level 2, 84 Crown Street, Wollongong 2500",Illawarra Shoalhaven & Southern NSW,Illawarra Shoalhaven,Upper South Coast,Major Cities of Australia,-34.305398,150.934991,Southern NSW,Illawarra,N,6/10/2022
1077,48545,Camden,Austral Public School,219 Edmondson Avenue,AUSTRAL,2179,9606 0312,austral-p.school@det.nsw.edu.au,https://austral-p.schools.nsw.gov.au,9606 0080,381,2,68,976,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1893-06-01,Liverpool (C),Werriwa,Metropolitan South and West,Glenfield,,,,South Western Sydney,South Western Sydney,Metropolitan South West,Major Cities of Australia,-33.934487,150.812638,South Western Sydney,Sydney - South West,N,6/10/2022
1081,50243,Goulburn,Avoca Public School,Sheepwash Rd,Avoca,2577,4887 7224,avoca-p.school@det.nsw.edu.au,https://avoca-p.schools.nsw.gov.au,4887 7380,11,0,0,,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1872-09-01,Wingecarribee (A),Whitlam,Regional South,Goulburn,Campbelltown,4633 2700,"Cnr Lindesay & Lithgow Streets, Campelltown 2560",South Western Sydney,South Western Sydney,Upper South Coast,Inner Regional Australia,-34.612697,150.479766,Southern NSW,Southern Highlands and Shoalhaven,N,6/10/2022
1082,56159,Terrigal,Avoca Beach Public School,The Round Drive,Avoca Beach,2251,4382 1416,avocabch-p.school@det.nsw.edu.au,https://avocabch-p.schools.nsw.gov.au,4381 1431,463,2,10,1091,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,5/1/1935,Central Coast (C),Robertson,Regional North,Brisbane Water,Tuggerah,4348 9100,"14 Pioneer Ave, Tuggerah 2259",Hunter New England & Central Coast,Central Coast,Central Coast,Major Cities of Australia,-33.471154,151.430745,Hunter/Central Coast,Central Coast,N,6/10/2022
1084,48964,Lake Macquarie,Awaba Public School,Mulbring Street,Awaba,2283,4959 2502,awaba-p.school@det.nsw.edu.au,https://awaba-p.schools.nsw.gov.au,4950 4905,28,np,np,979,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1891-06-01,Lake Macquarie (C),Hunter,Regional North,Lake Macquarie West,Adamstown,4904 3900,"Cnr Brunker and Glebe Rd, Adamstown 2289",Hunter New England & Central Coast,Hunter New England,Hunter,Major Cities of Australia,-33.010554,151.538068,Hunter/Central Coast,Newcastle and Lake Macquarie,N,6/10/2022
1085,56197,Wollondilly,Colo Vale Public School,Wattle St,Colo Vale ,2575,4889 4250,colovale-p.school@det.nsw.edu.au,https://colovale-p.schools.nsw.gov.au,4889 4285,169,7,8,971,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1882-01-01,Wingecarribee (A),Hume,Regional South,Wollondilly,Wollongong,4247 1007,"Block H, Level 2, 84 Crown Street, Wollongong 2500",South Western Sydney,South Western Sydney,Upper South Coast,Inner Regional Australia,-34.401281,150.476178,Southern NSW,Southern Highlands and Shoalhaven,N,6/10/2022
1098,49413,Northern Tablelands,Bald Blair Public School,Ebor Rd,Guyra ,2365,6779 1578,baldblair-p.school@det.nsw.edu.au,https://baldblair-p.schools.nsw.gov.au,6779 2060,36,np,np,997,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,5/1/1920,Armidale Regional (A),New England,Rural North,Northern Tablelands,Armidale,6776 4100,"Suites 2 & 3, North Power Building, 175 Rusden St Armidale",Hunter New England & Central Coast,Hunter New England,North Western 2,Outer Regional Australia,-30.229893,151.785056,North Western NSW,New England and North West,N,6/10/2022
1104,47691,Manly,Seaforth Public School,37 Kempbridge Avenue,Seaforth ,2092,9948 1694,seaforth-p.school@det.nsw.edu.au,https://seaforth-p.schools.nsw.gov.au,9907 0858,459,np,19,1148,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1881-07-01,Northern Beaches (A),Warringah,Metropolitan North,The Beaches,Dee Why,9982 0500,"72 Fisher Rd, Dee Why 2099","South Eastern Sydney, Northern Sydney & Sydney",Northern Sydney,Metropolitan North,Major Cities of Australia,-33.793262,151.251235,Northern Sydney,Sydney - Northern Beaches,N,6/10/2022
1106,50002,Keira,Balgownie Public School,Balgownie Rd,Balgownie ,2519,4284 4245,balgownie-p.school@det.nsw.edu.au,https://balgownie-p.schools.nsw.gov.au,4284 3462,341,3,18,1085,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1889-04-01,Wollongong (C),Cunningham,Regional South,Wollongong,Wollongong,4247 1007,"Block H, Level 2, 84 Crown Street, Wollongong 2500",Illawarra Shoalhaven & Southern NSW,Illawarra Shoalhaven,Upper South Coast,Major Cities of Australia,-34.386984,150.872076,Southern NSW,Illawarra,N,6/10/2022
1111,51039,Dubbo,Ballimore Public School,Bomen St,Ballimore ,2830,6886 5151,ballimore-p.school@det.nsw.edu.au,https://ballimore-p.schools.nsw.gov.au,6886 5167,18,np,0,933,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1884-07-01,Dubbo Regional (A),Parkes,Regional North and West,Mudgee,,,,"Murrumbidgee, Far West & Western NSW",Western NSW,Western 1,Outer Regional Australia,-32.193596,148.899631,North Western NSW,Far West and Orana,N,6/10/2022
1112,49765,Ballina,Ballina Public School,48 Crane St,Ballina ,2478,6686 2205,ballina-p.school@det.nsw.edu.au,https://ballina-p.schools.nsw.gov.au,6686 0692,277,39,9,858,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1861-08-01,Ballina (A),Richmond,Rural North,Lennox Coast,Goonellabah,6623 5900,"610 Ballina Rd, Goonellabah 2480",Mid North Coast & Northern NSW,Northern NSW,Upper North Coast,Inner Regional Australia,-28.869724,153.563707,North Coast,Richmond - Tweed,N,6/10/2022
1115,46377,Murray,Balranald Central School,We St,Balranald,2715,03 5020 2222,balranald-c.school@det.nsw.edu.au,https://balranald-c.schools.nsw.gov.au,03 5020 2269,158,22,5,911,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,,N,N,N,Coed,Y,1865-09-01,Balranald (A),Farrer,Rural South and West,Deniliquin,Deniliquin,03 5898 3700,"Harfleur St, Deniliquin 2710","Murrumbidgee, Far West & Western NSW",Far West,Riverina 3,Outer Regional Australia,-34.635575,143.564769,Southern NSW,Murray,N,6/10/2022
1118,49770,Ballina,Bangalow Public School,Byron St,Bangalow ,2479,6687 1434,bangalow-p.school@det.nsw.edu.au,https://bangalow-p.schools.nsw.gov.au,6687 2036,250,0,8,1069,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1884-10-01,Byron (A),Richmond,Rural North,Lennox Coast,Goonellabah,6623 5900,"610 Ballina Rd, Goonellabah 2480",Mid North Coast & Northern NSW,Northern NSW,Upper North Coast,Inner Regional Australia,-28.68554,153.525743,North Coast,Richmond - Tweed,N,6/10/2022
1121,46390,Maroubra,Banksmeadow Public School,Trevelyan & Wiggins Sts,Botany ,2019,9316 9608,banksmeado-p.school@det.nsw.edu.au,https://banksmeado-p.schools.nsw.gov.au,9316 4513,301,4,33,1025,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Y,N,N,Coed,N,1881-08-01,Bayside (A),Kingsford Smith,Metropolitan South,Botany Bay,St Peters,9582 5800,"Church St, St Peters 2044","South Eastern Sydney, Northern Sydney & Sydney",South Eastern Sydney,Metropolitan East,Major Cities of Australia,-33.953739,151.20661,Sydney,Sydney - City and Inner South,N,6/10/2022
1123,48557,Lakemba,Greenacre Public School,Waterloo Rd,Greenacre,2190,9759 1305,greenacre-p.school@det.nsw.edu.au,https://greenacre-p.schools.nsw.gov.au,9740 4035,822,1,98,927,Primary School,Not Selective,Y,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,5/1/1921,Canterbury-Bankstown (A),Watson,Metropolitan South,Chullora,Strathfield,9582 6300,"65 Albert St, Strathfield 2135",South Western Sydney,South Western Sydney,Metropolitan South West,Major Cities of Australia,-33.911161,151.057581,South Western Sydney,Sydney - Inner South West,N,6/10/2022
4502,47608,Summer Hill,Petersham Public School,25 Hunter St,Petersham ,2049,9560 9665,petersham-p.school@det.nsw.edu.au,https://petersham-p.schools.nsw.gov.au,9564 2104,269,np,28,1152,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1878-02-01,Inner West (A),Grayndler,Metropolitan South,Marrickville,Arncliffe,9582 2800,"Cnr Segenhoe & Avenal St, Arncliffe 2205","South Eastern Sydney, Northern Sydney & Sydney",Sydney,Metropolitan East,Major Cities of Australia,-33.895647,151.150175,Sydney,Sydney - City and Inner South,N,6/10/2022
1129,49515,Tweed,Banora Point Public School,Pioneer Pde,Banora Point ,2486,07 5524 1444,banorapt-p.school@det.nsw.edu.au,https://banorapt-p.schools.nsw.gov.au,07 5524 9287,536,13,7,1000,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1893-07-01,Tweed (A),Richmond,Rural North,Tweed Coast,Murwillumbah,6670 2300,"Level 2, 12 King St, Murwillumbah 2484",Mid North Coast & Northern NSW,Northern NSW,Upper North Coast,Major Cities of Australia,-28.222422,153.543702,North Coast,Richmond - Tweed,N,6/10/2022
